@relation problema
@attribute 'pkg' real
@attribute 'cores' real
@attribute 'ram' real
@attribute 'gpu' real
@attribute 'psys' real
@attribute 'duration_time' real
@attribute 'user_time' real
@attribute 'system_time' real
@attribute 'class' {0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31}
@data
2.53,2.45,0.16,0.00,6.71,217840357,120059000,12348000,4
3.12,3.02,0.19,0.00,8.38,272706072,172644000,15056000,4
3.41,3.31,0.20,0.00,8.82,286537194,194394000,7014000,4
3.58,3.47,0.21,0.00,9.34,311565082,306535000,5008000,4
2.59,2.50,0.17,0.00,6.94,226050307,131307000,9021000,4
2.63,2.54,0.17,0.00,6.92,225630533,131762000,9052000,4
2.62,2.52,0.18,0.00,6.96,227196432,132706000,9048000,4
3.66,3.54,0.21,0.00,9.42,311611152,305598000,5992000,4
2.72,2.64,0.17,0.00,7.10,230157401,132316000,11026000,4
2.47,2.38,0.15,0.00,6.42,211857776,121836000,4940000,4
2.58,2.49,0.17,0.00,6.90,225944699,131352000,9024000,4
3.35,3.25,0.19,0.00,8.63,277758719,185820000,5994000,4
3.40,3.28,0.20,0.00,8.82,287048210,189773000,11985000,4
2.56,2.47,0.17,0.00,6.77,221462623,122981000,12998000,4
3.39,3.29,0.21,0.00,8.75,290162501,189302000,15023000,4
2.59,2.51,0.18,0.00,6.95,230669783,140495000,5017000,4
2.58,2.49,0.18,0.00,6.97,233292522,140089000,8366000,4
3.31,3.21,0.20,0.00,8.64,281339834,186646000,10034000,4
2.76,2.67,0.18,0.00,7.32,241932750,140700000,15451000,4
2.37,2.30,0.15,0.00,6.26,205193237,112184000,8007000,4
