@relation 'problema-weka.filters.unsupervised.attribute.Remove-R3,5'

@attribute pkg numeric
@attribute cores numeric
@attribute gpu numeric
@attribute duration_time numeric
@attribute user_time numeric
@attribute system_time numeric
@attribute class {0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31}

@data
4.39,3.48,0.08,221001734,89738000,13259000,5
4.6,3.66,0.08,224572240,92480000,13067000,5
4.6,3.66,0.08,224476636,92301000,13042000,5
6.96,5.52,0.12,343121007,208385000,15706000,5
5.55,4.44,0.09,267934771,257907000,9996000,5
3.47,2.74,0.06,172819335,163800000,8989000,5
4.6,3.63,0.08,230033573,96355000,15446000,5
5.21,4.12,0.09,257258985,123783000,14224000,5
3.95,3.11,0.07,197990322,180926000,16993000,5
4.54,3.6,0.08,224543532,90535000,16095000,5
8.48,6.71,0.14,421030248,289661000,12816000,5
3.88,3.05,0.07,194863302,182878000,11992000,5
6.16,4.94,0.1,293557726,165283000,9992000,5
5.62,4.48,0.09,273264635,262236000,11009000,5
5.21,4.12,0.09,259342092,127297000,12892000,5
4.56,3.63,0.08,222817969,91003000,12859000,5
5.51,4.33,0.09,278149973,261095000,17006000,5
7.06,5.69,0.11,327698746,183687000,25093000,5
5.28,4.2,0.09,256914457,122840000,14980000,5
6.39,5.12,0.1,307982011,179215000,8960000,5
9.2,7.4,0.15,428173477,407091000,21004000,5
5.15,4.08,0.09,253329237,123659000,11059000,5
4.68,3.74,0.08,225019182,94698000,12231000,5
6.17,4.93,0.1,296420832,281369000,15019000,5
6.45,5.18,0.1,304638858,175977000,11590000,5
6.63,5.35,0.11,310164921,181413000,10468000,5
6.42,5.15,0.1,305647074,171179000,15722000,5
6.39,5.12,0.1,307030808,177395000,10283000,5
4.56,3.63,0.08,223618100,90913000,13132000,5
4.17,3.31,0.07,207013490,76254000,12040000,5
4.61,3.65,0.08,230331734,97251000,14036000,5
4.57,3.64,0.08,222570221,93808000,11095000,5
3.83,3.02,0.06,190194917,183104000,7003000,5
6.44,5.17,0.1,305944161,175403000,11025000,5
6.35,5.1,0.1,298887823,169178000,9951000,5
6.41,5.16,0.1,300796356,172773000,9235000,5
4.28,3.41,0.07,207048290,75582000,13101000,5
4.39,3.49,0.07,215249672,81258000,15275000,5
4.87,3.94,0.08,222487311,102355000,8803000,5
7.3,5.95,0.11,335221833,326912000,7997000,6
5.59,4.54,0.09,260798924,254694000,5992000,6
1.89,1.52,0.03,91065743,84060000,7005000,6
7.75,6.13,0.13,387059655,367019000,20001000,6
7.99,6.36,0.13,391218027,379185000,12005000,6
7.26,5.87,0.12,343269940,334280000,9007000,6
6.38,5.19,0.1,294956942,284834000,9994000,6
5.94,4.7,0.1,298313108,135279000,12024000,6
6.04,4.86,0.1,282131056,220073000,62020000,6
3.27,2.61,0.05,161832646,158812000,3015000,6
7.25,5.91,0.11,332251518,317256000,14964000,6
3.91,3.11,0.07,190946584,177875000,13064000,6
3.36,2.68,0.06,166145677,155087000,11006000,6
2.14,1.69,0.04,109649250,102575000,7039000,6
5.72,4.64,0.09,267416708,263454000,3991000,6
8.17,6.6,0.13,386108259,378975000,6999000,6
2.01,1.61,0.03,99334354,85338000,13892000,6
6.82,5.44,0.11,337101761,320079000,17004000,6
7.58,6.14,0.12,350036022,338092000,12003000,6
1.67,1.33,0.03,83131349,80107000,3004000,6
