@relation problema
@attribute 'L1-dcache-loads' real
@attribute 'L1-dcache-load-misses' real
@attribute 'branch-instructions' real
@attribute 'branch-load-misses' real
@attribute 'branch-loads' real
@attribute 'branch-misses' real
@attribute 'cache-misses' real
@attribute 'cache-references' real
@attribute 'cpu-cycles' real
@attribute 'dTLB-load-misses' real
@attribute 'dTLB-loads' real
@attribute 'iTLB-loads' real
@attribute 'iTLB-load-misses' real
@attribute 'instructions' real
@attribute 'page-faults' real
@attribute 'power/energy-psys/' real
@attribute 'power/energy-pkg/' real
@attribute 'power/energy-cores/' real
@attribute 'power/energy-ram/' real
@attribute 'power/energy-gpu/' real
@attribute 'duration_time' real
@attribute 'user_time' real
@attribute 'system_time' real
@attribute 'perf_time' real
@attribute 'class' {0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31}
@data
824333704,958402,484355647,3893211,484564884,3895423,272488,11901783,3446897880,85619,824929893,12955,25440,5634287674,129,25.83,9.8,9.47,0.48,0.0,930477860,930313000,0,944532229,1
25368934,158173,3554592,75444,3553808,71573,91687,991051,188531847,4940,25216523,1103,1816,123060442,132,1.43,0.53,0.51,0.03,0.0,52469369,50164000,2006000,66303784,1
766028781,1652461,244476887,1060807,244805212,1058410,373562,20690430,6103468489,150844,766608838,26914,47813,2021876571,128,46.27,17.73,17.14,0.84,0.0,1648111514,1646888000,999000,1662317393,1
19814365,139865,4186681,228687,4176153,231893,102661,790590,99148746,2540,20028713,382,695,114078230,131,0.74,0.28,0.27,0.01,0.0,26997331,25682000,987000,40991362,1
1425409,165467,6377642,107697,6232407,116880,86057,1008683,181465776,5445,725186,1050,1784,121729421,133,1.38,0.52,0.49,0.03,0.0,49359445,48015000,1000000,63505403,1
105671003,154995,30954681,112313,30953412,112908,105894,1814044,416401339,11909,105661987,1999,3281,698575949,129,3.27,1.26,1.22,0.06,0.0,113290593,113063000,0,127677393,1
44698165,224105,5937435,183488,5941171,180162,107218,2005517,471431635,11793,44414252,1680,3257,116852958,134,3.54,1.38,1.34,0.07,0.0,127474098,126231000,1001000,141553099,1
765944703,1617210,244477873,1054575,244503790,1056021,408945,20347397,6093998934,145931,765003376,24140,42356,2022279183,127,46.32,17.73,17.16,0.84,0.0,1643995130,1641821000,1999000,1658144772,1
28808164,150405,4724229,122522,4626211,124705,90071,778775,132480196,4385,29147601,899,1397,130708379,133,1.03,0.39,0.37,0.02,0.0,35992093,34715000,991000,50101902,1
35848993,148287,10243168,125912,10276495,128991,103009,811683,102360984,2601,37389291,431,715,147178129,134,0.77,0.3,0.3,0.01,0.0,27649981,25424000,1955000,41637681,1
23554420,125014,3439441,77706,3444787,77860,109556,1194041,210469909,6613,23471814,779,1530,176815743,128,1.6,0.61,0.59,0.03,0.0,58010170,57693000,0,71887065,1
384821831,878371,123227842,545493,123232829,537641,301023,10477955,3054568890,73643,384710577,11412,21893,1011309016,129,22.96,8.92,8.62,0.42,0.0,822499297,821243000,1000000,836449469,1
29961028,172087,4314244,99993,4392964,105901,109032,1356447,273164198,7742,30353672,1003,1813,75471173,132,2.07,0.8,0.77,0.04,0.0,73163872,72812000,0,87323416,1
47755844,107163,9041809,138906,9131532,135948,60061,1049819,215440812,6129,47572248,731,1502,224283013,64,1.63,0.63,0.61,0.03,0.0,58771868,56489000,1982000,72936533,1
6962495,594845,86915298,4363460,86473075,4385765,291535,4415221,1225881899,31793,6898392,7238,14658,438488138,1808,9.9,3.71,3.58,0.17,0.0,331069301,326859000,3998000,345354594,1
756050856,1673328,244429479,1042087,244459352,1041860,473550,20570253,6079245964,144106,755095113,22934,43262,1999914518,133,46.04,17.64,17.03,0.84,0.0,1638629936,1636329000,1999000,1652875632,1
35588040,155488,6434896,149463,6501124,145374,99479,1154835,210480709,5450,35979469,734,1454,222755635,133,1.57,0.6,0.58,0.03,0.0,57053722,54821000,1993000,71252852,1
25281332,157383,3502178,76347,3499548,75954,103214,1140668,207443583,5359,25231357,703,1427,161396483,135,1.57,0.6,0.59,0.03,0.0,56140631,54909000,998000,70161223,1
26969717,172960,3656833,85766,3653455,79340,105270,1180770,244977289,6308,26951772,1151,2192,182783355,129,1.8,0.68,0.65,0.03,0.0,65971970,64728000,995000,80092036,1
388641522,461068,124951128,258154,124952491,258278,201860,4989602,1323357943,34095,389142933,4071,9555,1947596272,134,9.82,3.62,3.48,0.18,0.0,356103317,353470000,1997000,370203521,1
25386634,130910,3590583,74684,3566227,68026,94566,972141,188005638,5398,25172045,1266,1795,123084516,134,1.43,0.55,0.54,0.03,0.0,51394444,50162000,983000,65569324,1
27297510,129712,8265717,126936,8261534,136312,88370,811809,118447764,4109,27277628,848,913,167198364,127,0.93,0.37,0.35,0.02,0.0,32193788,30930000,997000,46219810,1
44721464,195592,3703742,96233,3702343,95978,112294,1485872,312584375,7670,44468049,1123,2434,213353332,135,2.38,0.93,0.91,0.05,0.0,84745230,83445000,1005000,98949293,1
